"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Negative test: Request booking with non-existent ID.
        Should return 404 Not Found.
        ","13","GET /booking/9999 - Retrieve non-existent booking (404)","tests.booking","Tue Jan 20 11:39:24 UTC 2026","passed","Tue Jan 20 11:39:24 UTC 2026","TestPrivateBooking","test_private_booking","",""
"
        Negative test: Create booking with firstname less than 3 characters.
        Should return 400 Bad Request with validation error.
        ","10","POST /booking - Create booking with short firstname (400)","tests.booking","Tue Jan 20 11:39:22 UTC 2026","passed","Tue Jan 20 11:39:22 UTC 2026","TestBooking","test_booking","",""
"
        Positive test: Check availability during already booked period.
        Should return the room as unavailable.
        ","9","GET /booking/unavailable - Check availability during booked period","tests.booking","Tue Jan 20 11:39:22 UTC 2026","passed","Tue Jan 20 11:39:22 UTC 2026","TestBooking","test_booking","",""
"
        Negative test: Request booking with non-numeric ID in path.
        Should return 404 Not Found.
        ","10","GET /booking/one - Retrieve booking with invalid ID format (404)","tests.booking","Tue Jan 20 11:39:24 UTC 2026","passed","Tue Jan 20 11:39:24 UTC 2026","TestPrivateBooking","test_private_booking","",""
"
        Positive test: Check availability for free date range.
        Should return empty list or list without conflicts.
        ","18","GET /booking/unavailable - Check availability for free date range","tests.booking","Tue Jan 20 11:39:22 UTC 2026","passed","Tue Jan 20 11:39:22 UTC 2026","TestBooking","test_booking","",""
"
        Positive test: Use convenience method create_booking().
        Returns parsed Pydantic model CreateBookingResponseSchema.
        ","24","POST /booking - High-level method for creating booking","tests.booking","Tue Jan 20 11:39:22 UTC 2026","passed","Tue Jan 20 11:39:22 UTC 2026","TestBooking","test_booking","",""
"
        Positive test: High-level login method.
        Returns parsed token string.
        ","9","POST /auth/login - High-level method returns valid token","tests.auth","Tue Jan 20 11:39:21 UTC 2026","passed","Tue Jan 20 11:39:21 UTC 2026","TestAuthentication","test_authentication","",""
"","25","test_check_health[service1]","tests","Tue Jan 20 11:39:25 UTC 2026","passed","Tue Jan 20 11:39:25 UTC 2026","TestHealth","test_api_health","",""
"
        Positive test: Use convenience method update_booking().
        Returns parsed Pydantic model UpdateBookingResponseSchema.
        ","29","PUT /booking/{id} - High-level method for updating booking","tests.booking","Tue Jan 20 11:39:24 UTC 2026","passed","Tue Jan 20 11:39:24 UTC 2026","TestPrivateBooking","test_private_booking","",""
"
        Positive test: Use convenience method get_all_bookings().
        Returns parsed Pydantic model GetBookingsResponseSchema.
        ","12","GET /booking - High-level method for retrieving all bookings","tests.booking","Tue Jan 20 11:39:23 UTC 2026","passed","Tue Jan 20 11:39:23 UTC 2026","TestPrivateBooking","test_private_booking","",""
