"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Positive test: Use convenience method get_booking_summary().
        Returns parsed Pydantic model GetSummaryResponseSchema.
        ","6","GET /booking/summary - High-level method for getting summary","tests.booking","Sun Feb 01 03:47:26 UTC 2026","passed","Sun Feb 01 03:47:26 UTC 2026","TestBooking","test_booking","",""
"
        Negative test: Check availability with non-existent date.
        API returns 500 INTERNAL_SERVER_ERROR.
        ","13","GET /booking/unavailable - Invalid date (non-existent day) (500)","tests.booking","Sun Feb 01 03:47:26 UTC 2026","passed","Sun Feb 01 03:47:26 UTC 2026","TestBooking","test_booking","",""
"
        Negative test: Get summary without required roomid parameter.
        Should return 400 Bad Request.
        ","7","GET /booking/summary - Missing roomid parameter (400)","tests.booking","Sun Feb 01 03:47:26 UTC 2026","passed","Sun Feb 01 03:47:26 UTC 2026","TestBooking","test_booking","",""
"
        Negative test: Filter bookings with non-numeric roomid values.
        API returns 500 INTERNAL_SERVER_ERROR for invalid room ID format.
        ","15","GET /booking?roomid=abc123 - Invalid room ID format (500)","tests.booking","Sun Feb 01 03:47:27 UTC 2026","passed","Sun Feb 01 03:47:27 UTC 2026","TestPrivateBooking","test_private_booking","",""
"
        Negative test: Check availability with missing required parameter.
        Should return 400 Bad Request.
        ","25","GET /booking/unavailable - Missing checkin parameter (400)","tests.booking","Sun Feb 01 03:47:26 UTC 2026","passed","Sun Feb 01 03:47:26 UTC 2026","TestBooking","test_booking","",""
"
        Positive test: Raw API validate method with valid token.
        Validates status code 200.
        ","14","POST /auth/validate - Raw API method for valid token returns 200","tests.auth","Sun Feb 01 03:47:24 UTC 2026","passed","Sun Feb 01 03:47:24 UTC 2026","TestAuthentication","test_authentication","",""
"
        Positive test: Retrieve specific booking by booking ID.
        Validates response matches the created booking data.
        ","23","GET /booking/{id} - Retrieve specific booking by ID","tests.booking","Sun Feb 01 03:47:27 UTC 2026","passed","Sun Feb 01 03:47:27 UTC 2026","TestPrivateBooking","test_private_booking","",""
"
        Positive test: Use convenience method get_all_bookings().
        Returns parsed Pydantic model GetBookingsResponseSchema.
        ","14","GET /booking - High-level method for retrieving all bookings","tests.booking","Sun Feb 01 03:47:26 UTC 2026","passed","Sun Feb 01 03:47:26 UTC 2026","TestPrivateBooking","test_private_booking","",""
"
        Positive test: Use convenience method get_unavailable_rooms().
        Returns parsed Pydantic model UnavailableDatesResponseSchema.
        ","6","GET /booking/unavailable - High-level method for checking availability","tests.booking","Sun Feb 01 03:47:26 UTC 2026","passed","Sun Feb 01 03:47:26 UTC 2026","TestBooking","test_booking","",""
"
        Positive test: Use convenience method get_booking().
        Returns parsed Pydantic model BookingSchema.
        ","14","GET /booking/{id} - High-level method for retrieving specific booking","tests.booking","Sun Feb 01 03:47:27 UTC 2026","passed","Sun Feb 01 03:47:27 UTC 2026","TestPrivateBooking","test_private_booking","",""
"
        Negative test: High-level validate method.
        Returns False for empty/null token.
        ","0","POST /auth/validate - High-level method returns False for empty/null token","tests.auth","Sun Feb 01 03:47:24 UTC 2026","passed","Sun Feb 01 03:47:24 UTC 2026","TestAuthentication","test_authentication","",""
"
        Negative test: Check availability with missing required parameter.
        Should return 400 Bad Request.
        ","8","GET /booking/unavailable - Missing checkout parameter (400)","tests.booking","Sun Feb 01 03:47:26 UTC 2026","passed","Sun Feb 01 03:47:26 UTC 2026","TestBooking","test_booking","",""
"
        Positive test: High-level validate method after logout.
        Returns False for invalidated token.
        ","16","POST /auth/validate - High-level method returns False after logout","tests.auth","Sun Feb 01 03:47:25 UTC 2026","passed","Sun Feb 01 03:47:25 UTC 2026","TestAuthentication","test_authentication","",""
"
        Negative test: Get summary with non-numeric roomid.
        API returns 500 INTERNAL_SERVER_ERROR.
        ","7","GET /booking/summary - Invalid roomid (non-number) (500)","tests.booking","Sun Feb 01 03:47:26 UTC 2026","passed","Sun Feb 01 03:47:26 UTC 2026","TestBooking","test_booking","",""
"
        Positive test: Raw API login method.
        Validates status code and token presence in cookies.
        ","56","POST /auth/login - Raw API method returns 200 with token cookie","tests.auth","Sun Feb 01 03:47:24 UTC 2026","passed","Sun Feb 01 03:47:24 UTC 2026","TestAuthentication","test_authentication","",""
