"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","test_check_health[service0]","tests","Mon Jan 05 06:44:20 UTC 2026","passed","Mon Jan 05 06:44:20 UTC 2026","TestHealth","test_api_health","",""
"","29","test_check_health[service2]","tests","Mon Jan 05 06:44:20 UTC 2026","passed","Mon Jan 05 06:44:20 UTC 2026","TestHealth","test_api_health","",""
"","28","test_check_health[service5]","tests","Mon Jan 05 06:44:20 UTC 2026","passed","Mon Jan 05 06:44:20 UTC 2026","TestHealth","test_api_health","",""
"","36","test_check_health[service3]","tests","Mon Jan 05 06:44:20 UTC 2026","passed","Mon Jan 05 06:44:20 UTC 2026","TestHealth","test_api_health","",""
"","12","Checking the logout","tests.auth","Mon Jan 05 06:44:20 UTC 2026","passed","Mon Jan 05 06:44:20 UTC 2026","TestAuthentication","test_authentication","",""
"","26","test_check_health[service4]","tests","Mon Jan 05 06:44:20 UTC 2026","passed","Mon Jan 05 06:44:20 UTC 2026","TestHealth","test_api_health","",""
"","17","Checking that the token is not valid after logging out","tests.auth","Mon Jan 05 06:44:20 UTC 2026","passed","Mon Jan 05 06:44:20 UTC 2026","TestAuthentication","test_authentication","",""
"","16","Checking the response to see if the token is valid","tests.auth","Mon Jan 05 06:44:20 UTC 2026","passed","Mon Jan 05 06:44:20 UTC 2026","TestAuthentication","test_authentication","",""
"","14","Checking logout after logout","tests.auth","Mon Jan 05 06:44:20 UTC 2026","passed","Mon Jan 05 06:44:20 UTC 2026","TestAuthentication","test_authentication","",""
"","7","Checking the response using an invalid token","tests.auth","Mon Jan 05 06:44:20 UTC 2026","passed","Mon Jan 05 06:44:20 UTC 2026","TestAuthentication","test_authentication","",""
"","61","User logs in with valid credentials and receives token","tests.auth","Mon Jan 05 06:44:20 UTC 2026","passed","Mon Jan 05 06:44:20 UTC 2026","TestAuthentication","test_authentication","",""
"","4","Checking the logout on an invalid token","tests.auth","Mon Jan 05 06:44:20 UTC 2026","passed","Mon Jan 05 06:44:20 UTC 2026","TestAuthentication","test_authentication","",""
"","0","Checking the response on the missing token","tests.auth","Mon Jan 05 06:44:20 UTC 2026","passed","Mon Jan 05 06:44:20 UTC 2026","TestAuthentication","test_authentication","",""
"","25","test_check_health[service1]","tests","Mon Jan 05 06:44:20 UTC 2026","passed","Mon Jan 05 06:44:20 UTC 2026","TestHealth","test_api_health","",""
