"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","Checking the response using an invalid token","tests.auth","Sat Jan 03 13:19:36 UTC 2026","passed","Sat Jan 03 13:19:36 UTC 2026","TestAuthentication","test_authentication","",""
"","26","test_check_health[service1]","tests","Sat Jan 03 13:19:36 UTC 2026","passed","Sat Jan 03 13:19:36 UTC 2026","TestHealth","test_api_health","",""
"","12","Checking the response to see if the token is valid","tests.auth","Sat Jan 03 13:19:36 UTC 2026","passed","Sat Jan 03 13:19:36 UTC 2026","TestAuthentication","test_authentication","",""
"","9","Checking the logout","tests.auth","Sat Jan 03 13:19:36 UTC 2026","passed","Sat Jan 03 13:19:36 UTC 2026","TestAuthentication","test_authentication","",""
"","26","test_check_health[service2]","tests","Sat Jan 03 13:19:36 UTC 2026","passed","Sat Jan 03 13:19:36 UTC 2026","TestHealth","test_api_health","",""
"","0","Checking the response on the missing token","tests.auth","Sat Jan 03 13:19:36 UTC 2026","passed","Sat Jan 03 13:19:36 UTC 2026","TestAuthentication","test_authentication","",""
"","24","test_check_health[service0]","tests","Sat Jan 03 13:19:36 UTC 2026","passed","Sat Jan 03 13:19:36 UTC 2026","TestHealth","test_api_health","",""
"","4","Checking the logout on an invalid token","tests.auth","Sat Jan 03 13:19:36 UTC 2026","passed","Sat Jan 03 13:19:36 UTC 2026","TestAuthentication","test_authentication","",""
"","29","test_check_health[service3]","tests","Sat Jan 03 13:19:36 UTC 2026","passed","Sat Jan 03 13:19:37 UTC 2026","TestHealth","test_api_health","",""
"","26","test_check_health[service5]","tests","Sat Jan 03 13:19:37 UTC 2026","passed","Sat Jan 03 13:19:37 UTC 2026","TestHealth","test_api_health","",""
"","49","User logs in with valid credentials and receives token","tests.auth","Sat Jan 03 13:19:36 UTC 2026","passed","Sat Jan 03 13:19:36 UTC 2026","TestAuthentication","test_authentication","",""
"","32","test_check_health[service4]","tests","Sat Jan 03 13:19:37 UTC 2026","passed","Sat Jan 03 13:19:37 UTC 2026","TestHealth","test_api_health","",""
"","12","Checking logout after logout","tests.auth","Sat Jan 03 13:19:36 UTC 2026","passed","Sat Jan 03 13:19:36 UTC 2026","TestAuthentication","test_authentication","",""
"","15","Checking that the token is not valid after logging out","tests.auth","Sat Jan 03 13:19:36 UTC 2026","passed","Sat Jan 03 13:19:36 UTC 2026","TestAuthentication","test_authentication","",""
